Country,Country Code,Diabetes Total,Diabetes Male,Diabetes Female,Overweight Total,Overweight Male,Overweight Female,Obesity Total,Obesity Male,Obesity Female, Diabetes Proportional Mortality,Diabetes Total per,Diabetes Total2,Obesity Total per,Overweight Total per,
Romania,ROU,8.40%,8.50%,8.40%,60.80%,65.20%,56.50%,23.40%,21.80%,24.90%,,8.00,0.084,0.23,0.61,
Russian Federation,RUS,9.30%,8.00%,10.30%,26.20%,21.30%,30.40%,62.00%,62.80%,61.20%,<1%,9.00,0.093,0.62,0.26,
Rwanda,RWA,2.80%,2.70%,3.00%,3.30%,1.00%,5.40%,17.50%,10.30%,24.30%,2%,3.00,0.028,0.18,0.03,
Saint Kitts and Nevis,KNA,14.90%,12.80%,17.00%,59.10%,53.00%,65.20%,28.40%,21.20%,35.60%,,14.00,0.149,0.28,0.59,
Saint Lucia,LCA,14.60%,13.70%,15.50%,57.40%,51.00%,63.60%,27.00%,19.70%,34.00%,,14.00,0.146,0.27,0.57,
Saint Vincent and the Grenadines,VCT,10.30%,9.00%,11.70%,55.90%,51.10%,60.80%,24.10%,17.80%,30.50%,,10.00,0.103,0.24,0.56,
Samoa,WSM,22.80%,20.60%,25.10%,72.00%,66.30%,78.00%,41.60%,34.30%,49.50%,0%,22.00,0.228,0.42,0.72,
San Marino,SMR,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,0%,0.00,. . .,. . .,. . .,
Sao Tome and Principe,STP,5.60%,5.60%,5.70%,31.20%,23.80%,38.50%,10.60%,5.40%,15.80%,0%,5.00,0.056,0.11,0.31,
Saudi Arabia,SAU,14.40%,14.70%,13.80%,68.20%,67.50%,69.20%,33.70%,29.50%,39.50%,5%,14.00,0.144,0.34,0.68,
Senegal,SEN,5.10%,4.90%,5.30%,26.70%,19.60%,33.50%,8.30%,4.00%,12.50%,3%,5.00,0.051,0.08,0.27,
Serbia,SRB,8.60%,8.70%,8.50%,57.50%,62.30%,52.80%,21.10%,19.70%,22.50%,3%,8.00,0.086,0.21,0.58,
Seychelles,SYC,10.10%,9.60%,10.50%,56.30%,48.30%,64.50%,26.90%,17.60%,36.70%,,10.00,0.101,0.27,0.56,
Sierra Leone,SLE,4.80%,4.90%,4.60%,23.30%,16.10%,30.40%,6.60%,2.80%,10.40%,2%,4.00,0.048,0.07,0.23,
Singapore,SGP,9.10%,10.70%,7.70%,34.60%,39.20%,30.00%,6.80%,6.10%,7.40%,11%,9.00,0.091,0.07,0.35,
Slovakia,SVK,8.60%,9.20%,8.10%,64.00%,68.50%,59.70%,27.40%,25.90%,28.90%,,8.00,0.086,0.27,0.64,
Slovenia,SVN,9.50%,9.20%,9.80%,64.80%,69.90%,59.70%,27.40%,26.70%,28.20%,1%,9.00,0.095,0.27,0.65,
Solomon Islands,SLB,10.80%,9.80%,11.80%,25.00%,19.60%,30.50%,55.60%,48.80%,62.70%,8%,10.00,0.108,0.56,0.25,
Somalia,SOM,4.80%,5.20%,4.50%,18.30%,13.20%,23.20%,3.90%,1.80%,6.00%,,4.00,0.048,0.04,0.18,
